timestamp,test-class,test-method,time,description,result
2021-08-29 20:53:22.873,acme.testing.authenticated.consumer.AuthenticatedConsumerUpdateTest,positiveUpdateConsumer,11361,"[1] company=Telefonica, sector=Informatica",OK
2021-08-29 20:53:27.224,acme.testing.authenticated.consumer.AuthenticatedConsumerUpdateTest,negativeUpdateConsumer,3977,"[1] company=null, sector=null",OK
2021-08-29 20:53:57.196,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,6371,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:03.705,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,6190,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:10.295,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,6278,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:16.318,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,5709,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:22.851,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,6261,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:28.831,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,5690,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:35.142,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,6067,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, company=, sector=null, phone=622191444",OK
2021-08-29 20:54:41.214,acme.testing.authenticated.consumer.AuthenticatedConsumerCreateTest,negativeBecomeConsumer,5769,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, company=, sector=null, phone=622191444",OK
