timestamp;test-class;test-method;time;description;result;;;
2021-08-29 23:09:43.515;acme.testing.administrator.taskDashboard.AdministratorTaskDashboardShowTest;show;3916;show();OK;;;
;;Promedio show;3916;;;;;
2021-08-29 23:10:17.15;acme.testing.administrator.threshold.AdministratorThresholdUpdateResetTest;updateReset;10214;[1] thresholdNumber=100.00;OK;;;
2021-08-29 23:10:27.571;acme.testing.administrator.threshold.AdministratorThresholdUpdateResetTest;updateReset;10246;[2] thresholdNumber=20.00;OK;;;
2021-08-29 23:10:37.965;acme.testing.administrator.threshold.AdministratorThresholdUpdateResetTest;updateReset;10222;[3] thresholdNumber=0.00;OK;;;
;;Promedio updateReset;10227,33333;;;;;
2021-08-29 23:11:10.152;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updateNegative;6007;[1] thresholdNumber=500;OK;;;
2021-08-29 23:11:16.317;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updateNegative;5975;[2] thresholdNumber=-10;OK;;;
2021-08-29 23:11:22.538;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updateNegative;6034;[3] thresholdNumber=100.10;OK;;;
;;Promedio updateNegative;6005,333333;;;;;
2021-08-29 23:10:51.6;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updatePositive;5965;[1] thresholdNumber=100.00;OK;;;
2021-08-29 23:10:57.752;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updatePositive;5964;[2] thresholdNumber=20;OK;;;
2021-08-29 23:11:03.958;acme.testing.administrator.threshold.AdministratorThresholdUpdateTest;updatePositive;6003;[3] thresholdNumber=0.00;OK;;;
;;Promedio updatePositive;5977,333333;;;;;
2021-08-29 23:12:12.21;acme.testing.administrator.word.TestCreateWord;NegativeCreateWord;3751;[1] word=sexo;OK;;;
2021-08-29 23:12:16.159;acme.testing.administrator.word.TestCreateWord;NegativeCreateWord;3762;[2] word=null;OK;;;
;;Promedio NegativeCreateWord;3756,5;;;;;
2021-08-29 23:11:56.655;acme.testing.administrator.word.TestCreateWord;PositiveCreateWord;5589;[1] word=Colombia, recordIndex=11;OK;;;
2021-08-29 23:12:02.492;acme.testing.administrator.word.TestCreateWord;PositiveCreateWord;5647;[2] word=Nigga, recordIndex=12;OK;;;
2021-08-29 23:12:08.271;acme.testing.administrator.word.TestCreateWord;PositiveCreateWord;5588;[3] word=Negrata, recordIndex=13;OK;;;
;;Promedio PositiveCreateWord;5608;;;;;
2021-08-29 23:13:03.01;acme.testing.administrator.word.TestDeleteWord;positiveDeleteShow;5783;[1] index=0, word=Nigeria;OK;;;
2021-08-29 23:13:08.955;acme.testing.administrator.word.TestDeleteWord;positiveDeleteShow;5757;[2] index=1, word=sexo;OK;;;
2021-08-29 23:13:14.919;acme.testing.administrator.word.TestDeleteWord;positiveDeleteShow;5776;[3] index=2, word=sex;OK;;;
2021-08-29 23:13:20.849;acme.testing.administrator.word.TestDeleteWord;positiveDeleteShow;5742;[4] index=3, word=hardcore;OK;;;
2021-08-29 23:13:26.818;acme.testing.administrator.word.TestDeleteWord;positiveDeleteShow;5781;[5] index=4, word=Viagra;OK;;;
;;Promedio positiveDeleteShow;5767,8;;;;;
2021-08-29 23:12:28.828;acme.testing.administrator.word.TestListShowWord;positiveListShow;5013;[1] index=0, word=Nigeria;OK;;;
2021-08-29 23:12:34.045;acme.testing.administrator.word.TestListShowWord;positiveListShow;5027;[2] index=1, word=sexo;OK;;;
2021-08-29 23:12:39.223;acme.testing.administrator.word.TestListShowWord;positiveListShow;4990;[3] index=2, word=sex;OK;;;
2021-08-29 23:12:44.375;acme.testing.administrator.word.TestListShowWord;positiveListShow;4964;[4] index=3, word=hardcore;OK;;;
2021-08-29 23:12:49.55;acme.testing.administrator.word.TestListShowWord;positiveListShow;4987;[5] index=4, word=Viagra;OK;;;
;;Promedio positiveListShow;4996,2;;;;;
2021-08-29 23:13:53.906;acme.testing.administrator.word.TestUpdateWord;NegativeUpdateWord;4553;[1] word=null, index=0;OK;;;
2021-08-29 23:13:58.684;acme.testing.administrator.word.TestUpdateWord;NegativeUpdateWord;4589;[2] word=null, index=1;OK;;;
2021-08-29 23:14:03.425;acme.testing.administrator.word.TestUpdateWord;NegativeUpdateWord;4553;[3] word=null, index=2;OK;;;
;;Promedio NegativeUpdateWord;4565;;;;;
2021-08-29 23:13:39.267;acme.testing.administrator.word.TestUpdateWord;PositiveUpdateWord;4778;[1] word=follar, index=0;OK;;;
2021-08-29 23:13:44.227;acme.testing.administrator.word.TestUpdateWord;PositiveUpdateWord;4737;[2] word=fuck, index=1;OK;;;
2021-08-29 23:13:49.174;acme.testing.administrator.word.TestUpdateWord;PositiveUpdateWord;4767;[3] word=warzone, index=2;OK;;;
;;Promedio PositiveUpdateWord;4760,666667;;;;;
2021-08-29 23:09:59.235;acme.testing.administrator.workplanDashboard.AdministratorWorkPlanDashboardShowTest;showCanvas;3874;showCanvas();OK;;;
;;Promedio showCanvas;3874;;;;;
2021-08-29 23:09:55.171;acme.testing.administrator.workplanDashboard.AdministratorWorkPlanDashboardShowTest;showPanel;3944;showPanel();OK;;;
;;Promedio showPanel;3944;;;;;
2021-08-29 23:04:08.317;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1752;[1] recordIndex=0, moment=2021/05/16 19:00, author=null, text=null, info=null;OK;;;
2021-08-29 23:04:10.293;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1789;[2] recordIndex=0, moment=2021/05/16 19:00, author=null, text=I'm clever, info=http://www.example.com;OK;;;
2021-08-29 23:04:12.299;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1816;[3] recordIndex=0, moment=2021/05/16 19:00, author=Jooooooooooooooooooooooooooooooooooooooooooooooohn, text=I'm clever, info=http://www.example.com;OK;124; task4;" Public"",OK"
2021-08-29 23:04:14.296;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1808;[4] recordIndex=0, moment=2021/05/16 19:00, author=J, text=I'm clever, info=http://www.example.com;OK;;;
2021-08-29 23:04:16.265;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1778;[5] recordIndex=0, moment=2021/05/16 19:00, author=Ian Somerhalder, text=null, info=null;OK;;;
2021-08-29 23:04:18.306;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1837;[6] recordIndex=0, moment=2021/05/16 19:00, author=Ian Somerhalder, text=holaholahoholaholahoholaholahoholaholahoholaholahoholaholahoholaholahoholaholahoholaholahoholaholahol, info=null;OK;;;
2021-08-29 23:04:20.293;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1798;[7] recordIndex=0, moment=2021/05/16 19:00, author=Peter Parker, text=Nigeria is the best country, info=http://www.example.com;OK;;;
2021-08-29 23:04:22.288;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1805;[8] recordIndex=0, moment=2021/05/16 19:00, author=Nigeria, text=Nigeria is the best country, info=http://www.example.com;OK;;;
2021-08-29 23:04:24.3;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1809;[9] recordIndex=0, moment=2021/05/16 19:00, author=Nigeria, text=Spain is the best country, info=http://www.example.com;OK;;;
;;Promedio createNegative;1799,111111;;;;;
2021-08-29 23:03:47.324;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createPositive;2991;[1] recordIndex=7, moment=2021/05/16 18:29, author=Noel Doe, text=I'm Papa Noel, info=null;OK;;;
2021-08-29 23:03:50.489;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createPositive;2982;[2] recordIndex=8, moment=2021/05/16 18:29, author=Patrick Start, text=I'm lazy, info=http://www.example.com;OK;;;
